hour_of_year,pm2.5_2022,pm2.5_2023,pm2.5_2024
129,50.0,19.0,43.0
130,47.0,17.0,50.0
131,51.0,24.0,47.0
132,42.0,34.0,27.0
133,34.0,24.0,16.0
134,38.0,26.0,16.0
135,36.0,34.0,9.0
136,37.0,39.0,3.0
137,17.0,29.0,9.0
138,13.0,19.0,27.0
139,9.0,20.0,24.0
140,11.0,19.0,34.0
141,24.0,32.0,33.0
142,30.0,44.0,51.0
143,28.0,50.0,52.0
144,30.0,44.0,45.0
145,33.0,38.0,51.0
146,27.0,33.0,58.0
147,15.0,16.0,41.0
148,13.0,9.0,22.0
149,8.0,14.0,25.0
150,6.0,16.0,18.0
151,7.0,18.0,18.0
152,8.0,31.0,14.0
153,10.0,30.0,17.0
154,12.0,33.0,18.0
155,14.0,43.0,16.0
156,19.0,40.0,19.0
157,22.0,37.0,25.0
158,35.0,24.0,23.0
159,43.0,25.0,16.0
160,37.0,20.0,16.0
161,24.0,21.0,24.0
162,43.0,29.0,20.0
163,37.0,20.0,8.0
164,23.0,16.0,8.0
165,32.0,33.0,10.0
166,29.0,29.0,9.0
167,26.0,19.0,7.0
168,21.0,19.0,8.0
169,17.0,18.0,8.0
170,6.0,22.0,
171,14.0,22.0,4.0
172,16.0,16.0,
173,21.0,17.0,8.0
174,21.0,21.0,5.0
175,25.0,19.0,7.0
176,26.0,17.0,15.0
177,30.0,11.0,15.0
178,36.0,12.0,30.0
179,38.0,6.0,32.0
180,49.0,,36.0
181,65.0,,34.0
182,58.0,9.0,26.0
183,68.0,9.0,16.0
184,56.0,10.0,17.0
185,49.0,20.0,22.0
186,36.0,21.0,22.0
187,48.0,22.0,14.0
188,41.0,27.0,
189,23.0,35.0,
190,26.0,28.0,18.0
191,30.0,27.0,21.0
192,37.0,25.0,10.0
193,39.0,24.0,6.0
194,39.0,35.0,
195,58.0,25.0,8.0
196,65.0,5.0,15.0
197,69.0,10.0,16.0
198,74.0,13.0,13.0
199,64.0,14.0,14.0
200,71.0,17.0,12.0
201,80.0,15.0,16.0
202,78.0,22.0,24.0
203,45.0,25.0,33.0
204,26.0,26.0,31.0
205,20.0,20.0,22.0
206,19.0,6.0,19.0
207,15.0,,21.0
208,11.0,11.0,22.0
209,13.0,21.0,27.0
210,20.0,21.0,27.0
211,20.0,,22.0
212,16.0,18.0,27.0
213,14.0,31.0,38.0
214,15.0,32.0,47.0
215,16.0,28.0,41.0
216,11.0,29.0,43.0
217,2.0,35.0,37.0
218,,32.0,36.0
219,3.0,22.0,28.0
220,3.0,19.0,37.0
221,3.0,32.0,47.0
222,6.0,29.0,39.0
223,,34.0,38.0
224,5.0,39.0,46.0
225,5.0,48.0,53.0
226,7.0,56.0,58.0
227,10.0,71.0,68.0
228,10.0,61.0,25.0
229,14.0,49.0,3.0
230,12.0,31.0,21.0
231,8.0,16.0,22.0
232,7.0,24.0,31.0
233,8.0,25.0,50.0
234,7.0,31.0,53.0
235,10.0,19.0,38.0
236,14.0,13.0,37.0
237,10.0,20.0,63.0
238,6.0,33.0,91.0
239,5.0,38.0,81.0
240,8.0,37.0,85.0
241,5.0,22.0,69.0
242,10.0,25.0,52.0
243,9.0,27.0,58.0
244,9.0,38.0,63.0
245,8.0,39.0,60.0
246,7.0,41.0,51.0
247,4.0,39.0,47.0
248,4.0,48.0,54.0
249,5.0,46.0,56.0
250,11.0,57.0,54.0
251,11.0,40.0,42.0
252,15.0,34.0,21.0
253,18.0,40.0,24.0
254,28.0,47.0,42.0
255,26.0,56.0,29.0
256,22.0,40.0,15.0
257,15.0,39.0,23.0
258,15.0,39.0,20.0
259,18.0,32.0,7.0
260,14.0,22.0,7.0
261,11.0,21.0,13.0
262,15.0,30.0,34.0
263,20.0,48.0,70.0
264,,58.0,64.0
265,,68.0,50.0
266,,56.0,44.0
267,,41.0,49.0
268,,,55.0
269,,54.0,49.0
270,,41.0,36.0
271,,37.0,40.0
272,,31.0,79.0
273,,16.0,107.0
274,,,108.0
275,38.0,17.0,105.0
276,32.0,15.0,90.0
277,26.0,10.0,65.0
278,24.0,10.0,34.0
279,23.0,7.0,33.0
280,25.0,8.0,29.0
281,22.0,2.0,22.0
282,35.0,,26.0
283,35.0,5.0,32.0
284,,14.0,35.0
285,28.0,13.0,35.0
286,10.0,15.0,30.0
287,13.0,4.0,26.0
288,15.0,,24.0
289,21.0,,25.0
290,34.0,,26.0
291,40.0,,15.0
292,43.0,,14.0
293,46.0,,14.0
294,48.0,3.0,22.0
295,41.0,3.0,21.0
296,45.0,9.0,15.0
297,53.0,7.0,22.0
298,66.0,15.0,31.0
299,66.0,21.0,56.0
300,37.0,17.0,66.0
301,24.0,13.0,9.0
302,13.0,7.0,10.0
303,9.0,8.0,17.0
304,12.0,10.0,27.0
305,15.0,13.0,28.0
306,19.0,23.0,29.0
307,16.0,22.0,25.0
308,16.0,21.0,24.0
309,,10.0,25.0
310,19.0,9.0,37.0
311,25.0,19.0,46.0
312,30.0,15.0,49.0
313,25.0,53.0,52.0
314,44.0,58.0,35.0
315,43.0,39.0,29.0
316,41.0,22.0,35.0
317,52.0,15.0,30.0
318,60.0,12.0,37.0
319,61.0,10.0,34.0
320,57.0,14.0,32.0
321,62.0,17.0,39.0
322,61.0,23.0,33.0
323,54.0,26.0,38.0
324,45.0,28.0,37.0
325,34.0,24.0,29.0
326,31.0,27.0,24.0
327,29.0,24.0,24.0
328,33.0,25.0,22.0
329,26.0,25.0,20.0
330,32.0,22.0,15.0
331,35.0,25.0,16.0
332,26.0,16.0,20.0
333,30.0,17.0,28.0
334,38.0,21.0,40.0
335,41.0,29.0,44.0
336,56.0,38.0,46.0
337,60.0,15.0,29.0
338,67.0,,9.0
339,67.0,,5.0
340,45.0,2.0,
341,31.0,8.0,
342,23.0,8.0,
343,37.0,10.0,
344,45.0,14.0,2.0
345,36.0,16.0,10.0
346,33.0,21.0,25.0
347,40.0,25.0,24.0
348,34.0,22.0,24.0
349,30.0,24.0,30.0
350,20.0,32.0,14.0
351,14.0,44.0,
352,9.0,40.0,
353,15.0,30.0,2.0
354,12.0,24.0,15.0
355,12.0,18.0,32.0
356,19.0,12.0,36.0
357,28.0,18.0,33.0
358,33.0,24.0,29.0
359,28.0,30.0,24.0
360,24.0,23.0,21.0
361,25.0,22.0,11.0
362,20.0,18.0,9.0
363,13.0,21.0,15.0
364,11.0,18.0,5.0
365,9.0,23.0,
366,8.0,30.0,
367,15.0,31.0,
368,12.0,44.0,9.0
369,14.0,59.0,
370,20.0,42.0,10.0
371,31.0,46.0,13.0
372,26.0,38.0,
373,27.0,32.0,
374,22.0,31.0,2.0
375,31.0,27.0,20.0
376,31.0,14.0,28.0
377,29.0,17.0,30.0
